source_id,best_strategy,status,extracted_today,published_today,api_records_today,discovered_today,crawl_errors_today,frontier_touch_today,intake_sum
businesstimes_com_sg,rss_then_article_extract,active,36,27,0,0,0,36,36
bbc_co_uk,rss_then_article_extract,active,30,13,0,0,0,30,30
malaymail_com,playwright_fallback,active_candidate,30,17,0,0,6,20,30
vietnamplus_vn,rss_then_article_extract,active,28,22,0,0,0,28,28
aljazeera_com,rss_then_article_extract,active,27,16,0,0,0,27,27
europarl_europa_eu,html_then_trafilatura,active_candidate,27,26,0,0,13,33,27
koreaherald_com,rss_then_article_extract,active,26,20,0,0,0,26,26
pravda_com_ua,rss_then_article_extract,active,26,19,0,0,0,26,26
thehindu_com,rss_then_article_extract,active,26,13,0,0,0,27,26
ukrinform_net,rss_then_article_extract,active,24,19,0,0,0,24,24
khaleejtimes_com,rss_then_article_extract,active,23,9,0,0,0,23,23
france24_com,rss_then_article_extract,active,20,8,0,0,0,20,20
cbc_gov_tw,html_then_trafilatura,active_candidate,19,19,0,0,20,28,19
english_news_cn,html_then_trafilatura,active_candidate,17,10,0,0,31,46,17
news_ycombinator_com,rss_then_article_extract,active,12,0,0,0,11,23,12
reforma_com,rss_then_article_extract,active,12,3,0,0,0,12,12
euronews_com,rss_then_article_extract,active,11,9,0,0,3,14,11
gov_uk,rss_then_article_extract,active,11,8,0,0,0,11,11
globalnews_ca,rss_then_article_extract,active,10,1,0,0,0,10,10
rnz_co_nz,playwright_fallback,active_candidate,10,6,0,0,25,25,10
sama_gov_sa,html_then_trafilatura,active_candidate,10,1,0,0,0,13,10
almasryalyoum_com,html_then_trafilatura,active_candidate,7,4,0,0,39,30,7
nationalpost_com,rss_then_article_extract,active,7,2,0,0,0,7,7
pbs_org,rss_then_article_extract,active,7,0,0,0,0,7,7
fsc_go_kr,html_then_trafilatura,active_candidate,5,0,0,0,22,21,5
english_www_gov_cn,html_then_trafilatura,active_candidate,4,4,0,0,47,38,4
livemint_com,sitemap_then_article_extract,active,2,2,0,0,0,2,2
mti_gov_sg,sitemap_then_article_extract,active,2,2,0,0,0,2,2
ourworldindata_org,rss_then_article_extract,active,2,2,0,0,0,2,2
timesofindia_indiatimes_com,sitemap_then_article_extract,active,2,2,0,0,0,2,2
twse_com_tw,html_then_trafilatura,active_candidate,2,0,0,0,39,30,2
abs_gov_au,sitemap_then_article_extract,active,1,1,0,0,0,1,1
banxico_org_mx,html_then_trafilatura,active_candidate,1,0,0,0,20,11,1
bbc_com,sitemap_then_article_extract,active,1,1,0,0,0,1,1
bcb_gov_br,html_then_trafilatura,active_candidate,1,0,0,0,0,1,1
boj_or_jp,html_then_trafilatura,active_candidate,1,1,0,0,51,33,1
cbr_ru,html_then_trafilatura,active_candidate,1,1,0,0,59,43,1
ctvnews_ca,sitemap_then_article_extract,active,1,0,0,0,0,1,1
en_yna_co_kr,sitemap_then_article_extract,active,1,1,0,0,0,1,1
english_president_gov_tw,sitemap_then_article_extract,active,1,1,0,0,0,1,1
federalreserve_gov,html_then_trafilatura,active_candidate,1,0,0,0,39,27,1
fred_stlouisfed_org,html_then_trafilatura,active_candidate,1,0,0,0,28,19,1
kompas_com,sitemap_then_article_extract,active,1,0,0,0,0,1,1
mof_go_jp,html_then_trafilatura,active_candidate,1,0,0,0,35,28,1
mom_gov_sg,sitemap_then_article_extract,active,1,1,0,0,0,1,1
motie_go_kr,playwright_fallback,active_candidate,1,1,0,0,3,3,1
resbank_co_za,sitemap_then_article_extract,active,1,1,0,0,0,1,1
stats_gov_cn,html_then_trafilatura,active_candidate,1,1,0,0,13,12,1
taipeitimes_com,sitemap_then_article_extract,active,1,0,0,0,0,1,1
thanhnien_vn,rss_then_article_extract,active,1,1,0,0,23,24,1
themoscowtimes_com,sitemap_then_article_extract,active,1,1,0,0,0,1,1
24h_com_vn,sitemap_then_article_extract,active,0,0,0,0,1,1,0
abc_net_au,sitemap_then_article_extract,active,0,0,0,0,0,0,0
adb_org,rss_then_article_extract,active,0,0,0,0,2,1,0
afdb_org,playwright_fallback,active_candidate,0,0,0,0,30,29,0
afr_com,sitemap_then_article_extract,active,0,0,0,0,0,0,0
