source_id,total_urls_seen,total_articles_inserted,total_errors,last_success_at,last_error_at,last_error_type,success_rate,updated_at
aljazeera_com,2,0,2,,2026-05-17 11:35:48.794992,AccessControlDetected,0.0,2026-05-17 11:41:12.202170
apnews_com,2,0,2,,2026-05-17 11:35:55.364258,AccessControlDetected,0.0,2026-05-17 11:41:12.202170
bbc_com,2,2,0,2026-05-17 11:35:51.555763,,,1.0,2026-05-17 11:41:12.202170
dw_com,2,0,2,,2026-05-17 11:35:56.450625,AccessControlDetected,0.0,2026-05-17 11:41:12.202170
france24_com,2,0,2,,2026-05-17 11:35:54.831986,AccessControlDetected,0.0,2026-05-17 11:41:12.202170
gdeltproject_org,0,0,0,,,,0.0,2026-05-17 11:41:12.202170
reutersagency_com,2,0,2,,2026-05-17 11:35:49.595650,AccessControlDetected,0.0,2026-05-17 11:41:12.202170
theguardian_com,2,0,2,,2026-05-17 11:35:51.217887,AccessControlDetected,0.0,2026-05-17 11:41:12.202170
un_org,2,1,1,2026-05-17 11:35:54.548372,2026-05-17 11:35:50.137867,AccessControlDetected,0.5,2026-05-17 11:41:12.202170
worldbank_org,0,0,0,,,,0.0,2026-05-17 11:41:12.202170
