source_id,best_strategy,status,crawl_errors_today,frontier_touch_today,note
24h_com_vn,sitemap_then_article_extract,active,1,1,intake_sum=0
abc_net_au,sitemap_then_article_extract,active,0,0,intake_sum=0
adb_org,rss_then_article_extract,active,2,1,intake_sum=0
afdb_org,playwright_fallback,active_candidate,30,29,intake_sum=0
afr_com,sitemap_then_article_extract,active,0,0,intake_sum=0
agenciadenoticias_ibge_gov_br,html_then_trafilatura,active_candidate,42,29,intake_sum=0
apnews_com,sitemap_then_article_extract,active,1,1,intake_sum=0
arabnews_com,rss_then_article_extract,active,2,1,intake_sum=0
arxiv_org,api_first,active,0,0,intake_sum=0
asahi_com,sitemap_then_article_extract,active,0,0,intake_sum=0
asean_org,rss_then_article_extract,active,1,1,intake_sum=0
asia_nikkei_com,sitemap_then_article_extract,active,0,0,intake_sum=0
bangkokpost_com,sitemap_then_article_extract,active,0,0,intake_sum=0
bank_gov_ua,sitemap_then_article_extract,active,0,0,intake_sum=0
bankofcanada_ca,rss_then_article_extract,active,0,0,intake_sum=0
bankofengland_co_uk,sitemap_then_article_extract,active,0,0,intake_sum=0
baochinhphu_vn,rss_then_article_extract,active,33,33,intake_sum=0
bea_gov,rss_then_article_extract,active,1,1,intake_sum=0
bls_gov,rss_then_article_extract,active,0,0,intake_sum=0
bok_or_kr,sitemap_then_article_extract,active,2,1,intake_sum=0
caixinglobal_com,sitemap_then_article_extract,active,0,0,intake_sum=0
canada_ca,sitemap_then_article_extract,active,0,0,intake_sum=0
cbc_ca,manual_review,review,0,0,intake_sum=0
cbn_gov_ng,sitemap_then_article_extract,active,0,0,intake_sum=0
centralbank_ae,playwright_fallback,active_candidate,2,1,intake_sum=0
cepal_org,sitemap_then_article_extract,active,0,0,intake_sum=0
channelnewsasia_com,sitemap_then_article_extract,active,0,0,intake_sum=0
chinadaily_com_cn,sitemap_then_article_extract,active,1,1,intake_sum=0
chosun_com,sitemap_then_article_extract,active,2,2,intake_sum=0
clinicaltrials_gov,playwright_fallback,active_candidate,4,2,intake_sum=0
cna_com_tw,sitemap_then_article_extract,active,0,0,intake_sum=0
cnbc_com,sitemap_then_article_extract,active,0,0,intake_sum=0
cnn_com,sitemap_then_article_extract,active,2,2,intake_sum=0
commoncrawl_org,rss_then_article_extract,active,0,0,intake_sum=0
consilium_europa_eu,playwright_fallback,active_candidate,2,1,intake_sum=0
crossref_org,api_first,active,0,0,intake_sum=0
csrc_gov_cn,html_then_trafilatura,active_candidate,42,29,intake_sum=0
dailymaverick_co_za,rss_then_article_extract,active,11,11,intake_sum=0
dantri_com_vn,rss_then_article_extract,active,0,0,intake_sum=0
data_aseanstats_org,html_then_trafilatura,active_candidate,2,1,intake_sum=0
data_gov,sitemap_then_article_extract,active,0,0,intake_sum=0
dw_com,sitemap_then_article_extract,active,0,0,intake_sum=0
ec_europa_eu,sitemap_then_article_extract,active,1,1,intake_sum=0
ecb_europa_eu,sitemap_then_article_extract,active,0,0,intake_sum=0
economictimes_indiatimes_com,sitemap_then_article_extract,active,0,0,intake_sum=0
eea_europa_eu,sitemap_then_article_extract,active,0,0,intake_sum=0
egypttoday_com,playwright_fallback,active_candidate,2,1,intake_sum=0
eib_org,sitemap_then_article_extract,active,0,0,intake_sum=0
eltiempo_com,sitemap_then_article_extract,active,0,0,intake_sum=0
eluniversal_com_mx,sitemap_then_article_extract,active,2,2,intake_sum=0
ema_europa_eu,html_then_trafilatura,active_candidate,49,34,intake_sum=0
en_www_inegi_org_mx,sitemap_then_article_extract,active,0,0,intake_sum=0
eng_stat_gov_tw,sitemap_then_article_extract,active,0,0,intake_sum=0
english_hani_co_kr,rss_then_article_extract,active,0,0,intake_sum=0
english_kyodonews_net,sitemap_then_article_extract,active,0,0,intake_sum=0
english_mofcom_gov_cn,html_then_trafilatura,active_candidate,38,28,intake_sum=0
eurotopics_net,rss_then_article_extract,active,0,0,intake_sum=0
fca_org_uk,rss_then_article_extract,active,1,1,intake_sum=0
